DATE,CSUSHPISA,Year,Month,Per_Capita_GDP,Working_Population,Houses,CPI,UNRATE,Cons_Materials,FEDFUNDS,Num_Households,Income,Subsidy,old_percent
2002-01-01,117.143,2002,1,50091.0,182669300.0,4.2,177.7,5.7,142.0,1.73,109297.0,65820,24.183,12.2874577893554
2002-02-01,117.844,2002,2,50156.0,182823900.0,4.0,178.0,5.7,142.2,1.74,109297.0,65820,24.183,12.2874577893554
2002-03-01,118.687,2002,3,50221.0,183081600.0,4.1,178.5,5.7,143.2,1.73,109297.0,65820,24.183,12.2874577893554
2002-04-01,119.61,2002,4,50286.0,183315500.0,4.3,179.3,5.9,143.5,1.75,109297.0,65820,24.183,12.2874577893554
2002-05-01,120.724,2002,5,50311.333333333336,183462600.0,4.0,179.5,5.8,143.8,1.75,109297.0,65820,24.183,12.2874577893554
2002-06-01,121.813,2002,6,50336.666666666664,183672200.0,4.2,179.6,5.8,144.3,1.75,109297.0,65820,24.183,12.2874577893554
2002-07-01,122.888,2002,7,50362.0,183870800.0,4.2,180.0,5.8,144.7,1.73,109297.0,65820,24.183,12.2874577893554
2002-08-01,123.831,2002,8,50342.0,184126700.0,4.0,180.5,5.7,145.1,1.74,109297.0,65820,24.183,12.2874577893554
2002-09-01,124.78,2002,9,50322.0,184246500.0,3.9,180.8,5.7,145.4,1.75,109297.0,65820,24.183,12.2874577893554
2002-10-01,125.734,2002,10,50302.0,184457500.0,4.0,181.2,5.7,145.0,1.75,109297.0,65820,24.183,12.2874577893554
2002-11-01,126.669,2002,11,50355.333333333336,184790100.0,4.0,181.5,5.9,144.6,1.34,109297.0,65820,24.183,12.2874577893554
2002-12-01,127.624,2002,12,50408.666666666664,184909000.0,4.0,181.8,6.0,144.3,1.24,109297.0,65820,24.183,12.2874577893554
2003-01-01,128.461,2003,1,50462.0,185657900.0,4.0,182.6,5.8,144.4,1.24,111278.0,65860,25.93,12.2779342993686
2003-02-01,129.356,2003,2,50573.333333333336,185828700.0,4.5,183.6,5.9,145.2,1.26,111278.0,65860,25.93,12.2779342993686
2003-03-01,130.148,2003,3,50684.666666666664,186121600.0,4.1,183.9,5.9,145.2,1.25,111278.0,65860,25.93,12.2779342993686
2003-04-01,130.884,2003,4,50796.0,186476800.0,4.1,183.2,6.0,145.9,1.26,111278.0,65860,25.93,12.2779342993686
2003-05-01,131.734,2003,5,51034.666666666664,186699000.0,3.9,182.9,6.1,145.8,1.26,111278.0,65860,25.93,12.2779342993686
2003-06-01,132.649,2003,6,51273.333333333336,186893000.0,3.5,183.1,6.3,146.1,1.22,111278.0,65860,25.93,12.2779342993686
2003-07-01,133.77700000000002,2003,7,51512.0,187168900.0,3.6,183.7,6.2,147.0,1.01,111278.0,65860,25.93,12.2779342993686
2003-08-01,134.969,2003,8,51670.0,187380300.0,3.5,184.5,6.1,147.2,1.03,111278.0,65860,25.93,12.2779342993686
2003-09-01,136.29399999999998,2003,9,51828.0,187558100.0,3.8,185.1,6.1,149.0,1.01,111278.0,65860,25.93,12.2779342993686
2003-10-01,137.532,2003,10,51986.0,187716600.0,3.8,184.9,6.0,149.6,1.01,111278.0,65860,25.93,12.2779342993686
2003-11-01,138.79399999999998,2003,11,52050.333333333336,187913400.0,4.1,185.0,5.8,150.2,1.0,111278.0,65860,25.93,12.2779342993686
2003-12-01,140.18,2003,12,52114.666666666664,188027800.0,4.0,185.5,5.7,149.7,0.98,111278.0,65860,25.93,12.2779342993686
2004-01-01,141.64600000000002,2004,1,52179.0,187568500.0,3.8,186.3,5.7,150.0,1.0,112000.0,65760,27.201,12.3047192322804
2004-02-01,143.191,2004,2,52275.666666666664,187831800.0,3.7,186.7,5.6,153.4,1.01,112000.0,65760,27.201,12.3047192322804
2004-03-01,145.058,2004,3,52372.333333333336,188106500.0,3.6,187.1,5.8,156.5,1.0,112000.0,65760,27.201,12.3047192322804
2004-04-01,146.592,2004,4,52469.0,188337000.0,4.0,187.4,5.6,160.1,1.0,112000.0,65760,27.201,12.3047192322804
2004-05-01,148.185,2004,5,52591.0,188540100.0,3.8,188.2,5.6,162.7,1.0,112000.0,65760,27.201,12.3047192322804
2004-06-01,149.85,2004,6,52713.0,188691100.0,3.9,188.9,5.6,162.0,1.03,112000.0,65760,27.201,12.3047192322804
2004-07-01,151.33700000000002,2004,7,52835.0,188782800.0,4.5,189.1,5.5,162.2,1.26,112000.0,65760,27.201,12.3047192322804
2004-08-01,152.63299999999998,2004,8,52970.666666666664,189028800.0,4.3,189.2,5.4,165.9,1.43,112000.0,65760,27.201,12.3047192322804
2004-09-01,154.17700000000002,2004,9,53106.333333333336,189280700.0,4.1,189.8,5.4,167.2,1.61,112000.0,65760,27.201,12.3047192322804
2004-10-01,155.75,2004,10,53242.0,189472000.0,3.9,190.8,5.5,165.9,1.76,112000.0,65760,27.201,12.3047192322804
2004-11-01,157.526,2004,11,53401.0,189647000.0,4.3,191.7,5.4,165.5,1.93,112000.0,65760,27.201,12.3047192322804
2004-12-01,159.329,2004,12,53560.0,189848300.0,4.1,191.7,5.4,166.3,2.16,112000.0,65760,27.201,12.3047192322804
2005-01-01,161.287,2005,1,53719.0,190032200.0,4.4,191.6,5.3,168.6,2.28,113343.0,66780,27.651,12.3601628768533
2005-02-01,163.343,2005,2,53768.666666666664,190205800.0,4.3,192.4,5.4,170.4,2.5,113343.0,66780,27.651,12.3601628768533
2005-03-01,165.812,2005,3,53818.333333333336,190429000.0,4.1,193.1,5.2,170.0,2.63,113343.0,66780,27.651,12.3601628768533
2005-04-01,167.50099999999998,2005,4,53868.0,190492000.0,4.3,193.7,5.2,170.0,2.79,113343.0,66780,27.651,12.3601628768533
2005-05-01,169.35,2005,5,53963.0,190682700.0,4.2,193.6,5.1,168.1,3.0,113343.0,66780,27.651,12.3601628768533
2005-06-01,171.19,2005,6,54058.0,190898800.0,4.3,193.7,5.0,167.8,3.04,113343.0,66780,27.651,12.3601628768533
2005-07-01,172.859,2005,7,54153.0,191054900.0,4.2,194.9,5.0,167.2,3.26,113343.0,66780,27.651,12.3601628768533
2005-08-01,174.44299999999998,2005,8,54207.666666666664,191192800.0,4.5,196.1,4.9,165.9,3.5,113343.0,66780,27.651,12.3601628768533
2005-09-01,176.437,2005,9,54262.333333333336,191474900.0,4.7,198.8,5.0,168.9,3.62,113343.0,66780,27.651,12.3601628768533
2005-10-01,178.02599999999998,2005,10,54317.0,191700900.0,4.5,199.1,5.0,171.6,3.78,113343.0,66780,27.651,12.3601628768533
2005-11-01,179.68,2005,11,54520.333333333336,191993300.0,5.0,198.1,5.0,172.7,4.0,113343.0,66780,27.651,12.3601628768533
2005-12-01,180.909,2005,12,54723.666666666664,192186100.0,4.9,198.1,4.9,173.5,4.16,113343.0,66780,27.651,12.3601628768533
2006-01-01,182.32,2006,1,54927.0,192324600.0,5.3,199.3,4.7,177.2,4.29,114384.0,67520,28.604,12.422071948027
2006-02-01,183.287,2006,2,54933.0,192511200.0,6.1,199.4,4.8,177.7,4.49,114384.0,67520,28.604,12.422071948027
2006-03-01,184.364,2006,3,54939.0,192616400.0,5.9,199.7,4.7,178.3,4.59,114384.0,67520,28.604,12.422071948027
2006-04-01,184.328,2006,4,54945.0,192790800.0,6.3,200.7,4.7,179.0,4.79,114384.0,67520,28.604,12.422071948027
2006-05-01,184.155,2006,5,54925.333333333336,192946500.0,6.2,201.3,4.6,179.9,4.94,114384.0,67520,28.604,12.422071948027
2006-06-01,183.506,2006,6,54905.666666666664,193183900.0,6.3,201.8,4.6,180.7,4.99,114384.0,67520,28.604,12.422071948027
2006-07-01,183.066,2006,7,54886.0,193412500.0,7.3,202.9,4.7,182.3,5.24,114384.0,67520,28.604,12.422071948027
2006-08-01,182.595,2006,8,54996.0,193525200.0,6.7,203.8,4.7,182.6,5.25,114384.0,67520,28.604,12.422071948027
2006-09-01,182.798,2006,9,55106.0,193585700.0,6.7,202.8,4.5,183.3,5.25,114384.0,67520,28.604,12.422071948027
2006-10-01,183.197,2006,10,55216.0,193711000.0,7.3,201.9,4.4,182.3,5.25,114384.0,67520,28.604,12.422071948027
2006-11-01,183.608,2006,11,55230.666666666664,193924100.0,6.6,202.0,4.5,179.8,5.25,114384.0,67520,28.604,12.422071948027
2006-12-01,184.138,2006,12,55245.333333333336,194094700.0,6.5,203.1,4.4,179.8,5.24,114384.0,67520,28.604,12.422071948027
2007-01-01,184.515,2007,1,55260.0,194823000.0,7.2,203.437,4.6,181.1,5.25,116011.0,68610,29.512,12.507803700301
2007-02-01,184.597,2007,2,55331.333333333336,195053600.0,7.9,204.226,4.5,181.5,5.26,116011.0,68610,29.512,12.507803700301
2007-03-01,184.149,2007,3,55402.666666666664,195154300.0,7.9,205.288,4.4,182.5,5.26,116011.0,68610,29.512,12.507803700301
2007-04-01,183.009,2007,4,55474.0,195253300.0,7.4,205.904,4.5,183.7,5.25,116011.0,68610,29.512,12.507803700301
2007-05-01,181.6,2007,5,55532.333333333336,195415500.0,7.8,206.755,4.4,184.0,5.25,116011.0,68610,29.512,12.507803700301
2007-06-01,180.253,2007,6,55590.666666666664,195665200.0,8.2,207.234,4.6,184.0,5.25,116011.0,68610,29.512,12.507803700301
2007-07-01,179.109,2007,7,55649.0,195835800.0,8.3,207.603,4.7,184.2,5.26,116011.0,68610,29.512,12.507803700301
2007-08-01,178.116,2007,8,55718.333333333336,195970200.0,9.2,207.667,4.6,183.9,5.02,116011.0,68610,29.512,12.507803700301
2007-09-01,177.55599999999998,2007,9,55787.666666666664,196066400.0,9.2,208.547,4.7,183.4,4.94,116011.0,68610,29.512,12.507803700301
2007-10-01,176.623,2007,10,55857.0,196111500.0,8.5,209.19,4.7,183.0,4.76,116011.0,68610,29.512,12.507803700301
2007-11-01,175.146,2007,11,55737.0,196172500.0,9.4,210.834,4.7,183.3,4.49,116011.0,68610,29.512,12.507803700301
2007-12-01,174.34099999999998,2007,12,55617.0,196412200.0,9.6,211.445,5.0,183.5,4.24,116011.0,68610,29.512,12.507803700301
2008-01-01,173.13099999999997,2008,1,55497.0,196060500.0,9.3,212.174,5.0,184.3,3.94,116783.0,66280,29.876,12.6708585039901
2008-02-01,171.53900000000002,2008,2,55566.333333333336,196236900.0,9.7,212.687,4.9,185.7,2.98,116783.0,66280,29.876,12.6708585039901
2008-03-01,170.051,2008,3,55635.666666666664,196376300.0,10.5,213.448,5.1,187.8,2.61,116783.0,66280,29.876,12.6708585039901
2008-04-01,168.33599999999998,2008,4,55705.0,196223300.0,10.3,213.942,5.0,190.9,2.28,116783.0,66280,29.876,12.6708585039901
2008-05-01,166.657,2008,5,55562.666666666664,196451400.0,10.7,215.208,5.4,195.8,1.98,116783.0,66280,29.876,12.6708585039901
2008-06-01,165.016,2008,6,55420.333333333336,196516300.0,10.7,217.463,5.6,200.4,2.0,116783.0,66280,29.876,12.6708585039901
2008-07-01,163.564,2008,7,55278.0,196571900.0,10.5,219.016,5.8,203.4,2.01,116783.0,66280,29.876,12.6708585039901
2008-08-01,161.987,2008,8,54832.333333333336,196691100.0,11.3,218.69,6.1,206.5,2.0,116783.0,66280,29.876,12.6708585039901
2008-09-01,160.306,2008,9,54386.666666666664,196839800.0,10.9,218.877,6.1,206.3,1.81,116783.0,66280,29.876,12.6708585039901
2008-10-01,158.326,2008,10,53941.0,196974900.0,11.6,216.995,6.5,201.8,0.97,116783.0,66280,29.876,12.6708585039901
2008-11-01,156.141,2008,11,53701.0,197132700.0,11.4,213.153,6.8,199.6,0.39,116783.0,66280,29.876,12.6708585039901
2008-12-01,153.618,2008,12,53461.0,197420200.0,11.2,211.398,7.3,194.8,0.16,116783.0,66280,29.876,12.6708585039901
2009-01-01,151.507,2009,1,53221.0,197060700.0,12.2,211.933,7.8,193.3,0.15,117181.0,65850,32.883,12.8562585688817
2009-02-01,150.015,2009,2,53153.0,197286900.0,10.5,212.705,8.3,191.2,0.22,117181.0,65850,32.883,12.8562585688817
2009-03-01,148.66,2009,3,53085.0,197529900.0,11.0,212.495,8.7,190.2,0.18,117181.0,65850,32.883,12.8562585688817
2009-04-01,147.947,2009,4,53017.0,197854900.0,10.7,212.709,9.0,188.1,0.15,117181.0,65850,32.883,12.8562585688817
2009-05-01,147.692,2009,5,53038.333333333336,197951800.0,9.3,213.022,9.4,186.9,0.18,117181.0,65850,32.883,12.8562585688817
2009-06-01,148.088,2009,6,53059.666666666664,197608700.0,8.5,214.79,9.5,187.1,0.21,117181.0,65850,32.883,12.8562585688817
2009-07-01,148.407,2009,7,53081.0,197705800.0,7.9,214.726,9.5,187.6,0.16,117181.0,65850,32.883,12.8562585688817
2009-08-01,148.27700000000002,2009,8,53231.0,198050300.0,7.5,215.445,9.6,188.1,0.16,117181.0,65850,32.883,12.8562585688817
2009-09-01,148.024,2009,9,53381.0,198372700.0,7.8,215.861,9.8,189.3,0.15,117181.0,65850,32.883,12.8562585688817
2009-10-01,147.85,2009,10,53531.0,198663200.0,7.4,216.509,10.0,189.7,0.12,117181.0,65850,32.883,12.8562585688817
2009-11-01,148.135,2009,11,53581.666666666664,198711500.0,7.6,217.234,9.9,189.2,0.12,117181.0,65850,32.883,12.8562585688817
2009-12-01,147.928,2009,12,53632.333333333336,198768600.0,8.0,217.347,9.9,189.4,0.12,117181.0,65850,32.883,12.8562585688817
2010-01-01,147.39600000000002,2010,1,53683.0,198247600.0,8.1,217.488,9.8,190.3,0.11,117538.0,64300,32.669,13.0281784974361
2010-02-01,145.631,2010,2,53822.0,198432500.0,8.3,217.281,9.8,192.2,0.13,117538.0,64300,32.669,13.0281784974361
2010-03-01,145.858,2010,3,53961.0,198653600.0,7.1,217.353,9.9,193.7,0.16,117538.0,64300,32.669,13.0281784974361
2010-04-01,146.403,2010,4,54100.0,198995600.0,6.2,217.403,9.9,196.5,0.2,117538.0,64300,32.669,13.0281784974361
2010-05-01,146.394,2010,5,54200.333333333336,199087000.0,9.3,217.29,9.6,198.9,0.2,117538.0,64300,32.669,13.0281784974361
2010-06-01,145.72,2010,6,54300.666666666664,198935200.0,8.3,217.199,9.4,197.2,0.18,117538.0,64300,32.669,13.0281784974361
2010-07-01,144.989,2010,7,54401.0,199015000.0,8.9,217.605,9.4,195.6,0.18,117538.0,64300,32.669,13.0281784974361
2010-08-01,143.914,2010,8,54457.0,199221100.0,8.8,217.923,9.5,194.1,0.19,117538.0,64300,32.669,13.0281784974361
2010-09-01,143.017,2010,9,54513.0,199525500.0,7.6,218.275,9.5,193.9,0.19,117538.0,64300,32.669,13.0281784974361
2010-10-01,142.528,2010,10,54569.0,199859900.0,8.2,219.035,9.4,193.8,0.19,117538.0,64300,32.669,13.0281784974361
2010-11-01,142.16899999999998,2010,11,54493.0,199983700.0,8.2,219.59,9.8,193.6,0.19,117538.0,64300,32.669,13.0281784974361
2010-12-01,142.056,2010,12,54417.0,200022800.0,7.0,220.472,9.3,194.2,0.18,117538.0,64300,32.669,13.0281784974361
2011-01-01,141.518,2011,1,54341.0,199137100.0,7.3,221.187,9.1,195.9,0.17,119927.0,63350,34.23,13.2702031218742
2011-02-01,140.345,2011,2,54430.666666666664,199346000.0,8.1,221.898,9.0,198.1,0.16,119927.0,63350,34.23,13.2702031218742
2011-03-01,139.977,2011,3,54520.333333333336,199551500.0,7.2,223.046,9.0,199.7,0.14,119927.0,63350,34.23,13.2702031218742
2011-04-01,140.00799999999998,2011,4,54610.0,199937200.0,6.7,224.093,9.1,201.1,0.1,119927.0,63350,34.23,13.2702031218742
2011-05-01,139.904,2011,5,54567.333333333336,200041600.0,6.6,224.806,9.0,201.6,0.09,119927.0,63350,34.23,13.2702031218742
2011-06-01,139.861,2011,6,54524.666666666664,199992600.0,6.6,224.806,9.1,201.9,0.09,119927.0,63350,34.23,13.2702031218742
2011-07-01,139.73,2011,7,54482.0,200109400.0,6.7,225.395,9.0,202.6,0.07,119927.0,63350,34.23,13.2702031218742
2011-08-01,139.308,2011,8,54647.666666666664,200136500.0,6.5,226.106,9.0,202.8,0.1,119927.0,63350,34.23,13.2702031218742
2011-09-01,138.667,2011,9,54813.333333333336,200256000.0,6.3,226.597,9.0,202.7,0.08,119927.0,63350,34.23,13.2702031218742
2011-10-01,137.951,2011,10,54979.0,200422000.0,6.0,226.75,8.8,202.7,0.07,119927.0,63350,34.23,13.2702031218742
2011-11-01,137.15,2011,11,55100.0,200325600.0,5.7,227.169,8.6,202.2,0.08,119927.0,63350,34.23,13.2702031218742
2011-12-01,136.673,2011,12,55221.0,200311100.0,5.3,227.223,8.5,202.2,0.07,119927.0,63350,34.23,13.2702031218742
